groupName;centre;ciudad;CCAA;latlong;link;OSM;f_Major_Disease;f_Preclinical_Models;f_Funtional_Genomic_Tools;f_OMICS_Tech;f_Bioinformatics_&_Computational
Epidemiologia Genética y Molecular;Centro Nacional de Investigaciones Oncológicas (CNIO);Madrid;Madrid;40.47613,-3.69403;https://alipanc.org/en/grupo/genetic-and-molecular-epidemiology/;W465936079;Cancer Genomics, Epigenetics, Molecular and Genetic Epidemiology, Prevention, Diagnosis, Early Detection, Biomarkers (Liquid, Tissue);;None;None;DNA sequencing, RNA-seq, Methylation, Microbiome, Data integration
Grupo de investigación en cáncer de páncreas INCLIVA;Hospital Clínico Universitario de Valencia.Instituto de Investigación Sanitaria INCLIVA. Universidad de Valencia;Valencia;Comunitat Valenciana;39.478755,-0.3588256;https://alipanc.org/en/grupo/pancreatic-cancer-research-group/;W30041933;Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Cancer Genomics, Signaling Pathways, Biomarkers (Liquid, Tissue);Organoids;Drug screens;Genomics, Genetics, Liquid biopsies;DNA sequencing, RNA-seq
Epithelial Carcinogenesis Group;CNIO;Madrid;Madrid;40.47613,-3.69403;https://alipanc.org/grupo/carcinogenesis-epitelial/;W465936079;Tumor Initiation mechanisms & Precursor lesions, Malignant Progression / Metastasis mechanisms, Tumor Immunology & Microenvironment, Cancer Genomics, Cancer Cell Biology, Molecular and Genetic Epidemiology, Prevention, Diagnosis, Biomarkers (Liquid, Tissue);2D, Organoids, Organotypic/tissue slices, PDXs, GEMMs, Co-culture systems;shRNA/RNAi, CRISPR/cas9/BE, Genetic screens;Genomics, Genetics, Epigenomics, Transcriptomics, Metabolomics/metabolism, Signaling, Spatial (RNA-scope, MERFISH, multiplexed IF, IMC, Codex,...);DNA sequencing, Hi-C, ATAC-seq, RNA-seq, Methylation, Microbiome, Single-cell genomics, Single-cell RNA-seq, Spatial
Hormonas y Cancer;IMIBIC;Cordoba;Andalucía;37.8680278,-4.796101918284698;https://alipanc.org/grupo/hormonas-y-cancer/;W558044943;Therapy Resistance mechanisms, Cancer Cell Biology, Molecular Therapeutics (Chemo & Targeted Therapies), Cellular Immunotherapies & Cancer Vaccines;2D, PDXs;shRNA/RNAi;Genomics, Transcriptomics, Signaling;DNA sequencing, RNA-seq, Single-cell RNA-seq
Metabolism and Cell Signaling Lab;CNIO;Madrid;Madrid;40.47613,-3.69403;https://alipanc.org/grupo/laboratorio-metabolismo-senalizacion-celular/;W465936079;Tumor Initiation mechanisms & Precursor lesions, Tumor Immunology & Microenvironment, Cancer Cell Biology, Signaling Pathways;GEMMs;None;Transcriptomics, Proteomics, Metabolomics/metabolism, Signaling;RNA-seq
Epigenómica del Cáncer;Instituto de Investigación Sanitaria de Santiago (IDIS);Santiago de Compostela;Galicia;42.8700961,-8.5653612;https://alipanc.org/grupo/epigenomica-del-cancer/;N10055956682;Therapy Resistance mechanisms, Epigenetics, Diagnosis, Early Detection, Biomarkers (Liquid, Tissue);Cell cultures;None;Genomics, Epigenomics, Liquid biopsies, DNA methylation: NGS, EPIC arrays, pyrosequencing, droplet digital PCR;Methylation, Single-cell epigenomics
INMUNOLOGÍA;CINBIO- UNIVERSIDAD DE VIGO;Vigo;Galicia;42.1667199,-8.6841165;https://alipanc.org/grupo/inmunologia-in1/;N4199278490;Therapy Resistance mechanisms, Tumor Immunology & Microenvironment, Epigenetics, Cancer Cell Biology, Signaling Pathways, Tumour Evolution (Plasticity, Heterogeneity), Molecular Therapeutics (Chemo & Targeted Therapies), Cellular Immunotherapies & Cancer Vaccines;2D, Organoids, PDXs, GEMMs, Co-culture systems;shRNA/RNAi, Drug screens;Genomics, Transcriptomics, Proteomics, Signaling;RNA-seq
Metabolism and Cancer Stem Cells;IIS Aragón;Zaragoza;Aragón;41.64327125,-0.9034193767738858;https://alipanc.org/grupo/metabolismo-y-celulas-madre-tumorales/;W24582429;Malignant Progression / Metastasis mechanisms, Therapy Resistance mechanisms, Molecular Therapeutics (Chemo & Targeted Therapies);2D, Organoids, PDXs, Co-culture systems;shRNA/RNAi;Metabolomics/metabolism, Signaling, Liquid biopsies;None
Nutrition Precision and Cancer Lab;IMDEA Alimentación;Madrid;Madrid;40.539502999999996,-3.6931309022918453;https://www.food.imdea.org/sites/default/files/Precision%20Nut%20Lab.pdf;W295643113;Cancer Genomics, Epigenetics, Molecular and Genetic Epidemiology, Prevention, Biomarkers (Liquid, Tissue), Patient Care & Survivorship;2D, Organoids, Co-culture systems;Genetic screens;Genomics, Genetics, Epigenomics, Transcriptomics, Metabolomics/metabolism, Nutrigenomics microbiome, Liquid biopsies;RNA-seq, Methylation, Microbiome, Single-cell RNA-seq, Spatial
Julie Earl;Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS);Madrid;Madrid;40.48732805,-3.6938660704038133;https://alipanc.org/grupo/biomarcadores-y-abordaje-personalizado/;W394889262;Cancer Genomics, Molecular and Genetic Epidemiology, Diagnosis, Early Detection, Radiotherapeutics / Radiation Oncology;Organoids, PDXs, GEMMs, Zebrafish;Drug screens;Genomics, Genetics, Radiomics, Liquid biopsies;DNA sequencing
