groupName;centre;ciudad;latlong;link;OSM
Epidemiologia Genética y Molecular;Centro Nacional de Investigaciones Oncológicas (CNIO);Madrid;40.47613,-3.69403;https://alipanc.org/en/grupo/genetic-and-molecular-epidemiology/;W465936079
Grupo de investigación en cáncer de páncreas INCLIVA;Hospital Clínico Universitario de Valencia.Instituto de Investigación Sanitaria INCLIVA. Universidad de Valencia;Valencia;39.478755,-0.3588256;https://alipanc.org/en/grupo/pancreatic-cancer-research-group/;W30041933
Epithelial Carcinogenesis Group;CNIO;Madrid;40.47613,-3.69403;https://alipanc.org/grupo/carcinogenesis-epitelial/;W465936079
Hormonas y Cancer;IMIBIC;Cordoba;37.8680278,-4.796101918284698;https://alipanc.org/grupo/hormonas-y-cancer/;W558044943
Metabolism and Cell Signaling Lab;CNIO;Madrid;40.47613,-3.69403;https://alipanc.org/grupo/laboratorio-metabolismo-senalizacion-celular/;W465936079
Epigenómica del Cáncer;Instituto de Investigación Sanitaria de Santiago (IDIS);Santiago de Compostela;42.8700961,-8.5653612;https://alipanc.org/grupo/epigenomica-del-cancer/;N10055956682
INMUNOLOGÍA;CINBIO- UNIVERSIDAD DE VIGO;Vigo;42.1667199,-8.6841165;https://alipanc.org/grupo/inmunologia-in1/;N4199278490
Metabolism and Cancer Stem Cells;IIS Aragón;Zaragoza;41.64327125,-0.9034193767738858;https://alipanc.org/grupo/metabolismo-y-celulas-madre-tumorales/;W24582429
Nutrition Precision and Cancer Lab;IMDEA Alimentación;Madrid;40.539502999999996,-3.6931309022918453;https://www.food.imdea.org/sites/default/files/Precision%20Nut%20Lab.pdf;W295643113
Julie Earl;Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS);Madrid;40.48732805,-3.6938660704038133;https://alipanc.org/grupo/biomarcadores-y-abordaje-personalizado/;W394889262
Bioquímica del Cáncer;Universidad de Girona;Girona;41.9852758,2.828168945122764;https://alipanc.org/grupo/bioquimica-del-cancer/;relation 1011460
